movie_id,title,language,hero,heroine,genres,description
112,A Beautiful Mind,English,Russell Crowe,Jennifer Connelly,Biography|Drama,A brilliant mathematician struggles with schizophrenia while making groundbreaking discoveries
113,The Green Mile,English,Tom Hanks,N/A,Crime|Drama|Fantasy,A death row guard witnesses the supernatural gift of a gentle giant inmate
114,Schindlers List,English,Liam Neeson,N/A,Biography|Drama|War,A businessman saves the lives of over a thousand Jewish refugees during the Holocaust
115,12 Angry Men,English,Henry Fonda,N/A,Drama,A lone juror tries to convince eleven others to reconsider the evidence in a murder trial
116,The Usual Suspects,English,Kevin Spacey,N/A,Crime|Mystery|Thriller,A survivor recounts the events that led to a deadly shootout on a boat
117,Django Unchained,English,Jamie Foxx,Kerry Washington,Drama,A freed slave partners with a bounty hunter to rescue his wife from a ruthless plantation owner
118,The Wolf of Wall Street,English,Leonardo DiCaprio,Margot Robbie,Biography|Crime|Drama,A stockbroker builds an empire of fraud and excess before it all collapses
119,Catch Me If You Can,English,Leonardo DiCaprio,Amy Adams,Biography|Crime|Drama,A young con man impersonates professionals while an FBI agent pursues him
120,Big Fish,English,Ewan McGregor,Alison Lohman,Adventure|Drama|Fantasy,A son tries to separate fact from fantasy in his dying father's tall tales
121,Up,English,Ed Asner,N/A,Animation|Adventure|Family,An elderly widower ties balloons to his house and flies off on an adventure with a young stowaway
122,Inside Out,English,N/A,Amy Poehler,Animation|Adventure|Comedy,Personified emotions guide a young girl through a difficult family move
123,WALL-E,English,N/A,N/A,Animation|Adventure|Family,A lonely waste collecting robot on a ruined Earth falls for a sleek exploration robot
124,The Incredibles,English,Craig T. Nelson,Holly Hunter,Animation|Action|Adventure,A family of retired superheroes is forced back into action to save the world
125,Ratatouille,English,Patton Oswalt,N/A,Animation|Adventure|Comedy,A rat with a passion for cooking dreams of becoming a chef in a Paris restaurant
126,Moana,English,Dwayne Johnson,Auli'i Cravalho,Animation|Adventure|Family,A chief's daughter sails across the ocean to save her people with the help of a demigod
127,Zootopia,English,Jason Bateman,Ginnifer Goodwin,Animation|Adventure|Comedy,A rookie rabbit officer teams up with a con artist fox to solve a mystery in an animal city
128,The Lion King,English,Matthew Broderick,N/A,Animation|Adventure|Drama,A young lion prince flees his kingdom after his father's death and must reclaim his throne
129,Aladdin,English,Scott Weinger,Linda Larkin,Animation|Adventure|Family,A street thief wins the heart of a princess with the help of a wish granting genie
130,Home Alone,English,Macaulay Culkin,N/A,Comedy|Family,A young boy is accidentally left behind and must defend his house from burglars
131,Pokiri,Telugu,Mahesh Babu,Ileana D'Cruz,Action|Crime|Thriller,An undercover cop infiltrates a criminal gang to expose their operations
132,Businessman,Telugu,Mahesh Babu,Kajal Aggarwal,Action|Crime|Thriller,A ruthless contract killer takes over a city's crime network with his own rules
133,Yevadu,Telugu,Ram Charan,Kajal Aggarwal,Action|Drama,A man raised apart from his twin brother returns to confront the crime lord who wronged their family
134,Attarintiki Daredi,Telugu,Pawan Kalyan,Samantha Ruth Prabhu,Comedy|Drama|Family,A grandson secretly returns home to reunite his estranged grandfather with his daughter
135,Srimanthudu,Telugu,Mahesh Babu,Shruti Haasan,Drama,A wealthy heir adopts a struggling village to transform its people's lives
136,Bharat Ane Nenu,Telugu,Mahesh Babu,Kiara Advani,Drama,A young man educated abroad becomes chief minister and battles corruption in his state
137,Janatha Garage,Telugu,Jr NTR,Samantha Ruth Prabhu,Action|Drama,A garage owner leads a movement against a corrupt businessman exploiting local land
138,Khaleja,Telugu,Mahesh Babu,Anushka Shetty,Action|Comedy|Fantasy,A taxi driver discovers he is prophesied to save a drought stricken village
139,Arya,Telugu,Allu Arjun,Anuradha Mehta,Drama|Romance,A carefree college student's one-sided love story takes an unexpected turn
140,Julayi,Telugu,Allu Arjun,Ileana D'Cruz,Action|Comedy,A carefree man gets entangled with a woman searching for her father's missing wealth
141,Race Gurram,Telugu,Allu Arjun,Shruti Haasan,Action|Comedy,A small time gambler tries to save his sister from an arranged marriage to a gangster
142,Gabbar Singh,Telugu,Pawan Kalyan,Shruti Haasan,Action|Comedy,A strict but beloved police officer cleans up crime in a small town his own way
143,Dookudu,Telugu,Mahesh Babu,Samantha Ruth Prabhu,Action|Comedy,An undercover officer poses as a carefree young man while investigating a smuggling ring
144,1 Nenokkadine,Telugu,Mahesh Babu,Kriti Sanon,Mystery|Thriller,A traumatized rock star investigates his father's murder while doubting his own sanity
145,Vikramarkudu,Telugu,Ravi Teja,Anushka Shetty,Action|Comedy,A petty thief is mistaken for a look alike honest police officer with a violent past
146,Simhadri,Telugu,Jr NTR,Bhoomika Chawla,Action|Drama,A devoted bodyguard's mysterious past unravels to reveal a hidden family duty
147,Okkadu,Telugu,Mahesh Babu,Bhoomika Chawla,Action|Drama|Romance,A kabaddi player rescues a woman fleeing a forced marriage to a local politician's son
148,Kushi,Telugu,Pawan Kalyan,Bhoomika Chawla,Comedy|Romance,Two strangers forced to travel together slowly fall in love despite constant bickering
149,Manam,Telugu,Naga Chaitanya,Samantha Ruth Prabhu,Comedy|Drama|Family,Three generations of a family get a chance to fix their past mistakes through reincarnation
150,Uppena,Telugu,Panja Vaisshnav Tej,Krithi Shetty,Drama|Romance,A fisherman's son falls for the daughter of a powerful landlord with tragic consequences
151,Sita Ramam,Telugu,Dulquer Salmaan,Mrunal Thakur,Drama|Romance|War,An orphaned soldier's letters from an unknown woman lead to a decades old love story
152,Major,Telugu,Adivi Sesh,Saiee Manjrekar,Action|Biography|Drama,The story of an army major who sacrificed his life protecting hostages during a terror attack
153,Bheemla Nayak,Telugu,Pawan Kalyan,Nivetha Thomas,Action|Drama,A clash of egos between a strict police officer and a proud local leader escalates into conflict
154,Deewaar,Hindi,Amitabh Bachchan,Parveen Babi,Action|Crime|Drama,Two brothers raised in poverty choose opposite paths one lawful and one criminal
155,Mother India,Hindi,N/A,Nargis,Drama,A poverty stricken mother raises her sons alone while battling debt and hardship
156,Kal Ho Naa Ho,Hindi,Shah Rukh Khan,Preity Zinta,Drama|Romance,A dying man secretly orchestrates a romance between his best friend and the woman he loves
157,Om Shanti Om,Hindi,Shah Rukh Khan,Deepika Padukone,Comedy|Drama|Romance,A junior actor reincarnated decades later seeks revenge for his and his love's deaths
158,Chennai Express,Hindi,Shah Rukh Khan,Deepika Padukone,Action|Comedy|Romance,A middle aged man's train trip turns into a chaotic journey after he meets a runaway bride
159,Yeh Jawaani Hai Deewani,Hindi,Ranbir Kapoor,Deepika Padukone,Comedy|Drama|Romance,Old friends reunite years later and confront feelings left unresolved since a college trip
160,Tanu Weds Manu,Hindi,R. Madhavan,Kangana Ranaut,Comedy|Romance,An arranged marriage between two mismatched personalities leads to unexpected chaos
161,Vicky Donor,Hindi,Ayushmann Khurrana,Yami Gautam,Comedy|Drama,A young man becomes a prolific sperm donor leading to unexpected complications in his life
162,Piku,Hindi,Irrfan Khan,Deepika Padukone,Comedy|Drama,A woman balances her career and dating life while caring for her eccentric elderly father
163,Drishyam,Hindi,Ajay Devgn,Shriya Saran,Crime|Drama|Mystery,A father goes to extreme lengths to protect his family after covering up a crime
164,Kahaani,Hindi,N/A,Vidya Balan,Mystery|Thriller,A pregnant woman searches Kolkata for her missing husband uncovering a dangerous conspiracy
165,Talaash,Hindi,Aamir Khan,Kareena Kapoor,Crime|Drama|Mystery,A grieving detective investigates a mysterious death connected to the city's underworld
166,Raazi,Hindi,Vicky Kaushal,Alia Bhatt,Drama|Thriller,A young woman becomes a spy for her country after marrying into a family across the border
167,Sultan,Hindi,Salman Khan,Anushka Sharma,Drama|Sport,A former wrestling champion attempts a comeback to save his marriage and reputation
168,Mary Kom,Hindi,N/A,Priyanka Chopra,Biography|Drama|Sport,A small town boxer overcomes prejudice and hardship to become a world champion
169,Bhaag Milkha Bhaag,Hindi,Farhan Akhtar,Sonam Kapoor,Biography|Drama|Sport,A runner haunted by the trauma of partition rises to become a celebrated national athlete
170,Neerja,Hindi,N/A,Sonam Kapoor,Biography|Drama|Thriller,A young flight attendant saves hundreds of passengers during a hijacking at great personal cost
171,Sanju,Hindi,Ranbir Kapoor,N/A,Biography|Drama,The turbulent life of a troubled film star is chronicled through his struggles and redemption
172,Hera Pheri,Hindi,Akshay Kumar,N/A,Comedy,Three broke roommates get entangled in a ransom scheme meant for someone else entirely
173,Golmaal,Hindi,Ajay Devgn,N/A,Comedy,A group of friends juggle an ever growing web of lies to hide the truth from an old couple
174,Munna Bhai MBBS,Hindi,Sanjay Dutt,Gracy Singh,Comedy|Drama,A good hearted gangster poses as a doctor to fulfill his father's wish and ends up transforming a hospital
